1,10,7,1,0.44999999999999996,0.0452380952380953
2,10,7,1,0.44999999999999996,0.0452380952380953
3,10,7,1,0.44999999999999996,0.0452380952380953
4,10,6,0,None,None
5,10,7,0,None,None
6,10,8,0,None,None
7,10,8,0,None,None
8,10,8,0,None,None
9,10,8,0,None,None
10,10,8,0,None,None
11,10,8,0,None,None
12,10,8,0,None,None
13,10,8,0,None,None
14,10,8,0,None,None
15,10,8,0,None,None
16,10,8,0,None,None
1,20,13,1,0.3842715912544471,0.02057239929912491
2,20,10,1,0.19342597252792182,0.017942352562603125
3,20,10,1,0.19342597252792182,0.017942352562603125
4,20,10,1,0.19342597252792182,0.017942352562603125
5,20,10,0,None,None
6,20,13,0,None,None
7,20,15,0,None,None
8,20,17,0,None,None
9,20,18,0,None,None
10,20,18,0,None,None
11,20,18,0,None,None
12,20,18,0,None,None
13,20,18,0,None,None
14,20,18,0,None,None
15,20,18,0,None,None
16,20,18,0,None,None
1,30,19,1,0.36364223734274015,0.013215058450673833
2,30,13,1,0.1300893410591727,0.009619027686538328
3,30,13,1,0.1300893410591727,0.009619027686538328
4,30,13,1,0.1300893410591727,0.009619027686538328
5,30,12,0,None,None
6,30,16,0,None,None
7,30,20,0,None,None
8,30,23,0,None,None
9,30,25,0,None,None
10,30,27,0,None,None
11,30,28,0,None,None
12,30,28,0,None,None
13,30,28,0,None,None
14,30,28,0,None,None
15,30,28,0,None,None
16,30,28,0,None,None
1,40,25,1,0.3535617091185309,0.00971933396368796
2,40,18,1,0.12418428453697083,0.006897402552159315
3,40,16,1,0.1029704870156114,0.006241827362265195
4,40,16,1,0.1029704870156114,0.006241827362265195
5,40,16,1,0.1029704870156114,0.006241827362265195
6,40,18,0,None,None
7,40,23,0,None,None
8,40,28,0,None,None
9,40,32,0,None,None
10,40,35,0,None,None
11,40,37,0,None,None
12,40,38,0,None,None
13,40,38,0,None,None
14,40,38,0,None,None
15,40,38,0,None,None
16,40,38,0,None,None
1,50,32,1,0.37543364562893333,0.007689927292397591
2,50,22,1,0.1387258173854632,0.005758992941091612
3,50,19,1,0.08820916537272272,0.004513984817996919
4,50,19,1,0.08820916537272272,0.004513984817996919
5,50,19,1,0.08820916537272272,0.004513984817996919
6,50,19,0,None,None
7,50,26,0,None,None
8,50,33,0,None,None
9,50,38,0,None,None
10,50,42,0,None,None
11,50,45,0,None,None
12,50,47,0,None,None
13,50,48,0,None,None
14,50,48,0,None,None
15,50,48,0,None,None
16,50,48,0,None,None
1,60,38,1,0.3666525943969571,0.006362405870551702
2,60,26,1,0.11842723923233989,0.0043917402830018215
3,60,21,1,0.06758428832877073,0.0031748517092416995
4,60,21,1,0.06758428832877073,0.0031748517092416995
5,60,21,1,0.06758428832877073,0.0031748517092416995
6,60,20,0,None,None
7,60,28,0,None,None
8,60,37,0,None,None
9,60,44,0,None,None
10,60,49,0,None,None
11,60,53,0,None,None
12,60,55,0,None,None
13,60,57,0,None,None
14,60,58,0,None,None
15,60,58,0,None,None
16,60,58,0,None,None
1,70,44,1,0.360441379526537,0.005423696410684409
2,70,31,1,0.12934308343842382,0.003916116196376662
3,70,24,1,0.06332661846028653,0.0025953601337547205
4,70,24,1,0.06332661846028653,0.0025953601337547205
5,70,24,1,0.06332661846028653,0.0025953601337547205
6,70,24,1,0.06332661846028653,0.0025953601337547205
7,70,30,0,None,None
8,70,40,0,None,None
9,70,49,0,None,None
10,70,56,0,None,None
11,70,61,0,None,None
12,70,64,0,None,None
13,70,66,0,None,None
14,70,67,0,None,None
15,70,68,0,None,None
16,70,68,0,None,None
